team_id,match_id,side,score,score_ht,score_et,score_p,coach_id
9598,2058017,away,2,1,0,0,122788
2413,2058016,away,0,0,0,0,276858
2413,2058015,away,1,1,1,0,276858
5629,2058014,away,0,0,0,0,8605
14358,2058012,home,1,1,2,3,264893
7047,2058013,home,0,0,0,0,51239
6380,2058011,home,1,0,0,0,40532
15670,2058010,home,0,0,0,0,139142
2413,2058009,away,1,0,1,4,276858
7047,2058008,home,1,0,0,0,51239
12913,2058007,away,2,0,0,0,94654
15473,2058006,away,0,0,0,0,112633
7712,2058005,away,1,1,1,2,54577
14358,2058004,away,1,1,1,4,0
9905,2058002,away,1,0,0,0,0
12274,2058003,away,3,1,0,0,89543
2413,2057994,home,0,0,0,0,276858
17929,2057995,home,1,1,0,0,90948
12913,2058000,home,0,0,0,0,94654
19314,2058001,home,0,0,0,0,143326
17322,2057982,home,0,0,0,0,546966
16871,2057983,away,2,0,0,0,0
15473,2057989,home,0,0,0,0,112633
3148,2057988,away,0,0,0,0,134365
16823,2057976,home,1,0,0,0,142913
7839,2057977,home,1,0,0,0,57369
8493,2057971,home,0,0,0,0,134090
7712,2057970,home,0,0,0,0,54577
16216,2057965,away,2,1,0,0,140684
10840,2057964,home,1,0,0,0,0
16521,2057959,home,2,1,0,0,86569
14358,2057958,away,0,0,0,0,264893
13869,2057998,home,0,0,0,0,99428
19314,2057999,away,2,1,0,0,143326
2413,2057993,home,6,5,0,0,276858
3148,2057986,home,2,0,0,0,134365
15473,2057987,away,2,1,0,0,112633
16276,2057992,away,2,1,0,0,209364
17322,2057981,home,1,1,0,0,546966
7839,2057975,away,0,0,0,0,57369
16871,2057980,away,0,0,0,0,484354
12274,2057974,home,0,0,0,0,89543
15594,2057968,away,0,0,0,0,86604
8493,2057969,away,1,1,0,0,134090
10840,2057963,home,0,0,0,0,136612
16521,2057957,away,0,0,0,0,86569
16216,2057962,away,0,0,0,0,140684
14358,2057956,home,3,0,0,0,264893
19314,2057996,away,2,1,0,0,143326
12913,2057997,away,2,1,0,0,94654
2413,2057991,away,2,1,0,0,276858
17929,2057990,away,0,0,0,0,90948
7047,2057985,home,1,0,0,0,51239
6697,2057978,away,1,0,0,0,210701
3148,2057984,home,0,0,0,0,134365
16871,2057979,home,0,0,0,0,484354
16823,2057973,away,0,0,0,0,142913
7712,2057967,away,1,0,0,0,54577
7839,2057972,away,1,1,0,0,57369
8493,2057966,away,1,0,0,0,134090
9905,2057960,home,3,2,0,0,137521
10840,2057961,away,1,0,0,0,136612
16129,2057955,home,0,0,0,0,33204
14358,2057954,home,5,2,0,0,264893
4418,2058017,home,4,2,0,0,25549
5629,2058016,home,2,1,0,0,8605
9598,2058015,home,1,0,2,0,122788
4418,2058014,home,1,0,0,0,25549
9598,2058012,away,1,1,2,4,122788
2413,2058013,away,2,1,0,0,276858
5629,2058011,away,2,2,0,0,8605
4418,2058010,away,2,1,0,0,25549
12430,2058009,home,1,0,1,3,137379
6697,2058008,away,0,0,0,0,210701
5629,2058007,home,3,0,0,0,8605
6380,2058006,home,2,0,0,0,40532
9598,2058005,home,1,1,1,3,122788
1598,2058004,home,1,1,1,3,0
15670,2058002,home,2,1,0,0,0
4418,2058003,home,4,1,0,0,25549
5629,2057994,away,1,0,0,0,0
16276,2057995,away,2,0,0,0,209364
13869,2058000,away,1,0,0,0,99428
12430,2058001,away,1,0,0,0,137379
6380,2057982,away,2,1,0,0,40532
6697,2057983,home,2,1,0,0,0
7047,2057989,away,3,0,0,0,51239
14855,2057988,home,2,0,0,0,107408
12274,2057976,away,2,1,0,0,89543
9598,2057977,away,2,0,0,0,122788
15594,2057971,away,2,1,0,0,86604
4418,2057970,away,0,0,0,0,25549
1598,2057965,home,2,1,0,0,333641
9905,2057964,away,1,1,0,0,0
16129,2057959,away,1,1,0,0,33204
15670,2057958,home,3,2,0,0,139142
12430,2057998,away,3,1,0,0,137379
12913,2057999,home,2,1,0,0,94654
17929,2057993,away,1,0,0,0,90948
7047,2057986,away,1,1,0,0,51239
14855,2057987,home,1,0,0,0,107408
5629,2057992,home,5,3,0,0,8605
6697,2057981,away,2,0,0,0,210701
16823,2057975,home,2,0,0,0,142913
6380,2057980,home,2,0,0,0,40532
9598,2057974,away,3,0,0,0,122788
4418,2057968,home,1,1,0,0,25549
7712,2057969,home,1,1,0,0,54577
1598,2057963,away,1,0,0,0,333641
15670,2057957,home,1,1,0,0,139142
9905,2057962,home,1,1,0,0,137521
16129,2057956,away,1,0,0,0,33204
13869,2057996,home,1,0,0,0,99428
12430,2057997,home,1,1,0,0,137379
16276,2057991,home,1,1,0,0,209364
5629,2057990,home,3,0,0,0,8605
14855,2057985,away,0,0,0,0,107408
6380,2057978,home,1,1,0,0,40532
15473,2057984,away,1,1,0,0,112633
17322,2057979,away,1,0,0,0,546966
9598,2057973,home,2,1,0,0,122788
15594,2057967,home,0,0,0,0,86604
12274,2057972,home,1,1,0,0,89543
4418,2057966,home,2,0,0,0,25549
1598,2057960,away,3,1,0,0,333641
16216,2057961,home,0,0,0,0,140684
15670,2057955,away,1,0,0,0,139142
16521,2057954,away,0,0,0,0,86569
